zip_code,county_name,state_fips,county_code,file_date,neighborhood,region_id,size_rank,state_name,city,metro,year,month,day,rental_price
10001,New York,36,061,7/25/07,Chelsea and Clinton,61615,4444,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",2015,jan,31,3855.089277839425
10001,New York,36,061,7/25/07,Chelsea and Clinton,61615,4444,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",2015,feb,28,3892.375835688115
10001,New York,36,061,7/25/07,Chelsea and Clinton,61615,4444,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",2015,mar,31,3898.2123729478817
10001,New York,36,061,7/25/07,Chelsea and Clinton,61615,4444,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",2015,apr,30,3969.64432611359
10001,New York,36,061,7/25/07,Chelsea and Clinton,61615,4444,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",2015,may,31,4033.2213383881094
10001,New York,36,061,7/25/07,Chelsea and Clinton,61615,4444,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",2015,jun,30,4070.807702419819
10001,New York,36,061,7/25/07,Chelsea and Clinton,61615,4444,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",2015,jul,31,4067.257994425171
10001,New York,36,061,7/25/07,Chelsea and Clinton,61615,4444,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",2015,aug,31,4069.862455260331
10001,New York,36,061,7/25/07,Chelsea and Clinton,61615,4444,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",2015,sep,30,4039.812088186989
10001,New York,36,061,7/25/07,Chelsea and Clinton,61615,4444,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",2015,oct,31,4023.4901886626553
10001,New York,36,061,7/25/07,Chelsea and Clinton,61615,4444,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",2015,nov,30,3969.4959591654783
10001,New York,36,061,7/25/07,Chelsea and Clinton,61615,4444,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",2015,dec,31,3964.9880929739898
10001,New York,36,061,7/25/07,Chelsea and Clinton,61615,4444,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",2016,jan,31,3940.118545539618
10001,New York,36,061,7/25/07,Chelsea and Clinton,61615,4444,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",2016,feb,29,3936.615776661823
10001,New York,36,061,7/25/07,Chelsea and Clinton,61615,4444,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",2016,mar,31,3959.81423646931
10001,New York,36,061,7/25/07,Chelsea and Clinton,61615,4444,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",2016,apr,30,3991.983885223805
10001,New York,36,061,7/25/07,Chelsea and Clinton,61615,4444,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",2016,may,31,4041.838435793439
10001,New York,36,061,7/25/07,Chelsea and Clinton,61615,4444,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",2016,jun,30,4047.326922730378
10001,New York,36,061,7/25/07,Chelsea and Clinton,61615,4444,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",2016,jul,31,4073.850306478563
10001,New York,36,061,7/25/07,Chelsea and Clinton,61615,4444,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",2016,aug,31,4077.097184156384
10001,New York,36,061,7/25/07,Chelsea and Clinton,61615,4444,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",2016,sep,30,4074.986826013608
10001,New York,36,061,7/25/07,Chelsea and Clinton,61615,4444,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",2016,oct,31,4052.4846175090097
10001,New York,36,061,7/25/07,Chelsea and Clinton,61615,4444,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",2016,nov,30,4010.5536212834586
10001,New York,36,061,7/25/07,Chelsea and Clinton,61615,4444,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",2016,dec,31,3943.41713656049
10001,New York,36,061,7/25/07,Chelsea and Clinton,61615,4444,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",2017,jan,31,3912.0966082462664
10001,New York,36,061,7/25/07,Chelsea and Clinton,61615,4444,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",2017,feb,28,3853.903878588948
10001,New York,36,061,7/25/07,Chelsea and Clinton,61615,4444,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",2017,mar,31,3868.555088928772
