year,month,gov_gop,sen_gop,rep_gop,gov_dem,sen_dem,rep_dem,president,close,unemployment_rate
1947,jan,23,51,253,23,45,198,dem,NA,NA
1947,feb,23,51,253,23,45,198,dem,NA,NA
1947,mar,23,51,253,23,45,198,dem,NA,NA
1947,apr,23,51,253,23,45,198,dem,NA,NA
1947,may,23,51,253,23,45,198,dem,NA,NA
1947,jun,23,51,253,23,45,198,dem,NA,NA
1947,jul,23,51,253,23,45,198,dem,NA,NA
1947,aug,23,51,253,23,45,198,dem,NA,NA
1947,sep,23,51,253,23,45,198,dem,NA,NA
1947,oct,23,51,253,23,45,198,dem,NA,NA
1947,nov,24,51,253,23,45,198,dem,NA,NA
1947,dec,24,51,253,23,45,198,dem,NA,NA
1948,jan,22,53,253,24,48,198,dem,NA,3.4
1948,feb,22,53,253,24,48,198,dem,NA,3.8
1948,mar,22,53,253,24,48,198,dem,NA,4
1948,apr,22,53,253,24,48,198,dem,NA,3.9
1948,may,22,53,253,24,48,198,dem,NA,3.5
1948,jun,22,53,253,24,48,198,dem,NA,3.6
1948,jul,22,53,253,24,48,198,dem,NA,3.6
1948,aug,22,53,253,24,48,198,dem,NA,3.9
1948,sep,22,53,253,24,48,198,dem,NA,3.8
1948,oct,22,53,253,24,48,198,dem,NA,3.7
1948,nov,22,53,253,24,48,198,dem,NA,3.8
1948,dec,22,53,253,24,48,198,dem,NA,4
1949,jan,18,45,177,29,58,269,dem,NA,4.3
1949,feb,18,45,177,29,58,269,dem,NA,4.7
1949,mar,18,45,177,29,58,269,dem,NA,5
1949,apr,18,45,177,29,58,269,dem,NA,5.3
1949,may,18,45,177,29,58,269,dem,NA,6.1
1949,jun,18,45,177,29,58,269,dem,NA,6.2
1949,jul,18,45,177,30,58,269,dem,NA,6.7
1949,aug,18,45,177,30,58,269,dem,NA,6.8
1949,sep,18,45,177,30,58,269,dem,NA,6.6
1949,oct,18,45,177,30,58,269,dem,NA,7.9
1949,nov,18,45,177,30,58,269,dem,NA,6.4
1949,dec,18,45,177,30,58,269,dem,NA,6.6
1950,jan,18,44,177,29,57,269,dem,NA,6.5
1950,feb,18,44,177,29,57,269,dem,NA,6.4
1950,mar,18,44,177,29,57,269,dem,NA,6.3
1950,apr,18,44,177,29,57,269,dem,NA,5.8
1950,may,18,44,177,29,57,269,dem,NA,5.5
1950,jun,18,44,177,29,57,269,dem,NA,5.4
1950,jul,18,44,177,29,57,269,dem,NA,5
1950,aug,18,44,177,29,57,269,dem,NA,4.5
1950,sep,18,44,177,29,57,269,dem,NA,4.4
1950,oct,18,44,177,29,57,269,dem,NA,4.2
1950,nov,18,44,177,29,57,269,dem,NA,4.2
1950,dec,18,44,177,29,57,269,dem,NA,4.3
1951,jan,24,47,207,22,51,242,dem,NA,3.7
1951,feb,24,47,207,22,51,242,dem,NA,3.4
1951,mar,24,47,207,22,51,242,dem,NA,3.4
1951,apr,24,47,207,22,51,242,dem,NA,3.1
1951,may,24,47,207,22,51,242,dem,NA,3
1951,jun,24,47,207,22,51,242,dem,NA,3.2
1951,jul,24,47,207,22,51,242,dem,NA,3.1
1951,aug,24,47,207,22,51,242,dem,NA,3.1
1951,sep,24,47,207,22,51,242,dem,NA,3.3
1951,oct,25,47,207,22,51,242,dem,NA,3.5
1951,nov,25,47,207,22,51,242,dem,NA,3.5
1951,dec,25,47,207,22,51,242,dem,NA,3.1
1952,jan,24,50,207,22,50,242,dem,NA,3.2
1952,feb,24,50,207,22,50,242,dem,NA,3.1
1952,mar,24,50,207,22,50,242,dem,NA,2.9
1952,apr,24,50,207,22,50,242,dem,NA,2.9
1952,may,24,50,207,22,50,242,dem,NA,3
1952,jun,24,50,207,22,50,242,dem,NA,3
1952,jul,24,50,207,22,50,242,dem,NA,3.2
1952,aug,24,50,207,22,50,242,dem,NA,3.4
1952,sep,24,50,207,22,50,242,dem,NA,3.1
1952,oct,24,50,207,22,50,242,dem,NA,3
1952,nov,24,50,207,22,50,242,dem,NA,2.8
1952,dec,24,50,207,22,50,242,dem,NA,2.7
1953,jan,29,50,222,17,49,220,gop,NA,2.9
1953,feb,29,50,222,17,49,220,gop,NA,2.6
1953,mar,29,50,222,17,49,220,gop,NA,2.6
1953,apr,29,50,222,17,49,220,gop,NA,2.7
1953,may,29,50,222,17,49,220,gop,NA,2.5
1953,jun,29,50,222,17,49,220,gop,NA,2.5
1953,jul,29,50,222,17,49,220,gop,NA,2.6
1953,aug,29,50,222,17,49,220,gop,NA,2.7
1953,sep,29,50,222,17,49,220,gop,NA,2.9
1953,oct,30,50,222,18,49,220,gop,NA,3.1
1953,nov,30,50,222,18,49,220,gop,NA,3.5
1953,dec,30,50,222,18,49,220,gop,NA,4.5
1954,jan,29,55,222,18,53,220,gop,NA,4.9
1954,feb,29,55,222,18,53,220,gop,NA,5.2
1954,mar,29,55,222,18,53,220,gop,NA,5.7
1954,apr,29,55,222,18,53,220,gop,NA,5.9
1954,may,29,55,222,18,53,220,gop,NA,5.9
1954,jun,29,55,222,18,53,220,gop,NA,5.6
1954,jul,29,55,222,18,53,220,gop,NA,5.8
1954,aug,29,55,222,18,53,220,gop,NA,6
1954,sep,29,55,222,18,53,220,gop,NA,6.1
1954,oct,29,55,222,18,53,220,gop,NA,5.7
1954,nov,29,55,222,19,53,220,gop,NA,5.3
1954,dec,29,55,222,19,53,220,gop,NA,5
1955,jan,21,47,204,26,48,237,gop,NA,4.9
1955,feb,21,47,204,26,48,237,gop,NA,4.7
1955,mar,21,47,204,26,48,237,gop,NA,4.6
1955,apr,21,47,204,26,48,237,gop,NA,4.7
1955,may,21,47,204,26,48,237,gop,NA,4.3
1955,jun,21,47,204,26,48,237,gop,NA,4.2
1955,jul,21,47,204,26,48,237,gop,NA,4
1955,aug,21,47,204,26,48,237,gop,NA,4.2
1955,sep,21,47,204,26,48,237,gop,NA,4.1
1955,oct,21,47,204,26,48,237,gop,NA,4.3
1955,nov,21,47,204,26,48,237,gop,NA,4.2
1955,dec,21,47,204,26,48,237,gop,NA,4.2
1956,jan,21,49,204,26,51,237,gop,NA,4
1956,feb,21,49,204,26,51,237,gop,NA,3.9
1956,mar,21,49,204,26,51,237,gop,NA,4.2
1956,apr,21,49,204,26,50,237,gop,NA,4
1956,may,21,49,204,26,50,237,gop,NA,4.3
1956,jun,21,49,204,26,50,237,gop,NA,4.3
1956,jul,21,49,204,26,50,237,gop,NA,4.4
1956,aug,21,49,204,26,50,237,gop,NA,4.1
1956,sep,21,49,204,26,50,237,gop,NA,3.9
1956,oct,21,49,204,26,50,237,gop,NA,3.9
1956,nov,21,49,204,26,51,237,gop,NA,4.3
1956,dec,21,49,204,26,51,237,gop,NA,4.2
1957,jan,19,47,203,28,52,242,gop,NA,4.2
1957,feb,19,47,203,28,52,242,gop,NA,3.9
1957,mar,19,47,203,28,52,242,gop,NA,3.7
1957,apr,19,47,203,28,52,242,gop,NA,3.9
1957,may,19,47,203,28,52,242,gop,NA,4.1
1957,jun,19,47,203,28,52,242,gop,NA,4.3
1957,jul,19,47,203,28,52,242,gop,NA,4.2
1957,aug,19,47,203,28,52,242,gop,NA,4.1
1957,sep,20,47,203,28,52,242,gop,NA,4.4
1957,oct,20,47,203,28,52,242,gop,NA,4.5
1957,nov,20,47,203,28,52,242,gop,NA,5.1
1957,dec,20,47,203,28,52,242,gop,NA,5.2
1958,jan,20,47,203,28,52,242,gop,NA,5.8
1958,feb,20,47,203,28,52,242,gop,NA,6.4
1958,mar,20,47,203,28,52,242,gop,NA,6.7
1958,apr,20,47,203,28,52,242,gop,NA,7.4
1958,may,20,47,203,28,52,242,gop,NA,7.4
1958,jun,20,47,203,28,52,242,gop,NA,7.3
1958,jul,20,47,203,28,52,242,gop,NA,7.5
1958,aug,20,47,203,28,52,242,gop,NA,7.4
1958,sep,20,47,203,28,52,242,gop,NA,7.1
1958,oct,20,47,203,28,52,242,gop,NA,6.7
1958,nov,20,47,203,28,52,242,gop,NA,6.2
1958,dec,20,47,203,28,52,242,gop,NA,6.2
1959,jan,15,35,159,35,65,289,gop,NA,6
1959,feb,15,35,159,35,65,289,gop,NA,5.9
1959,mar,15,35,159,35,65,289,gop,NA,5.6
1959,apr,15,35,159,35,65,289,gop,NA,5.2
1959,may,15,35,159,35,65,289,gop,NA,5.1
1959,jun,15,35,159,35,65,289,gop,NA,5
1959,jul,15,35,159,35,65,289,gop,NA,5.1
1959,aug,15,35,159,35,65,289,gop,NA,5.2
1959,sep,15,35,159,35,65,289,gop,NA,5.5
1959,oct,15,35,159,35,65,289,gop,NA,5.7
1959,nov,15,35,159,35,65,289,gop,NA,5.8
1959,dec,15,35,159,35,65,289,gop,NA,5.3
1960,jan,16,35,159,34,70,289,gop,NA,5.2
1960,feb,16,35,159,34,70,289,gop,NA,4.8
1960,mar,16,35,159,34,70,289,gop,NA,5.4
1960,apr,16,35,159,34,70,289,gop,NA,5.2
1960,may,16,35,159,34,70,289,gop,NA,5.1
1960,jun,16,35,159,34,70,289,gop,NA,5.4
1960,jul,16,35,159,34,70,289,gop,NA,5.5
1960,aug,16,35,159,34,70,289,gop,NA,5.6
1960,sep,17,35,159,34,70,289,gop,NA,5.5
1960,oct,17,35,159,34,70,289,gop,NA,6.1
1960,nov,17,35,159,34,70,289,gop,NA,6.1
1960,dec,17,35,159,34,70,289,gop,NA,6.6
1961,jan,16,37,176,34,64,273,dem,NA,6.6
1961,feb,16,37,176,34,64,273,dem,NA,6.9
1961,mar,16,37,176,34,64,273,dem,NA,6.9
1961,apr,16,37,176,34,64,273,dem,NA,7
1961,may,16,37,176,34,64,273,dem,NA,7.1
1961,jun,16,37,176,34,64,273,dem,NA,6.9
1961,jul,16,37,176,34,64,273,dem,NA,7
1961,aug,16,37,176,34,64,273,dem,NA,6.6
1961,sep,16,37,176,34,64,273,dem,NA,6.7
1961,oct,16,37,176,34,64,273,dem,NA,6.5
1961,nov,16,37,176,34,64,273,dem,NA,6.1
1961,dec,16,37,176,34,64,273,dem,NA,6
1962,jan,16,42,176,34,65,273,dem,NA,5.8
1962,feb,16,42,176,34,65,273,dem,NA,5.5
1962,mar,16,42,176,34,65,273,dem,NA,5.6
1962,apr,16,42,176,34,65,273,dem,NA,5.6
1962,may,16,42,176,34,65,273,dem,NA,5.5
1962,jun,16,42,176,34,65,273,dem,NA,5.5
1962,jul,16,42,176,34,65,273,dem,NA,5.4
1962,aug,16,42,176,34,65,273,dem,NA,5.7
1962,sep,16,42,176,34,65,273,dem,NA,5.6
1962,oct,16,42,176,34,65,273,dem,NA,5.4
1962,nov,16,42,176,34,65,273,dem,NA,5.7
1962,dec,16,42,176,34,65,273,dem,NA,5.5
1963,jan,17,34,182,33,68,262,dem,NA,5.7
1963,feb,17,34,182,33,68,262,dem,NA,5.9
1963,mar,16,34,182,34,68,262,dem,NA,5.7
1963,apr,16,34,182,34,68,262,dem,NA,5.7
1963,may,16,34,182,34,68,262,dem,NA,5.9
1963,jun,16,34,182,34,68,262,dem,NA,5.6
1963,jul,16,34,182,34,68,262,dem,NA,5.6
1963,aug,16,34,182,34,68,262,dem,NA,5.4
1963,sep,16,34,182,34,68,262,dem,NA,5.5
1963,oct,16,34,182,34,68,262,dem,NA,5.5
1963,nov,16,34,182,34,68,262,dem,NA,5.7
1963,dec,16,34,182,34,68,262,dem,NA,5.5
1964,jan,16,34,182,34,71,262,dem,NA,5.6
1964,feb,16,34,182,34,71,262,dem,NA,5.4
1964,mar,16,34,182,34,71,262,dem,NA,5.4
1964,apr,16,34,182,34,71,262,dem,NA,5.3
1964,may,16,34,182,34,71,262,dem,NA,5.1
1964,jun,16,34,182,34,71,262,dem,NA,5.2
1964,jul,16,34,182,34,71,262,dem,NA,4.9
1964,aug,16,34,182,34,71,262,dem,NA,5
1964,sep,16,34,182,34,71,262,dem,NA,5.1
1964,oct,16,34,182,34,71,262,dem,NA,5.1
1964,nov,16,34,182,34,71,262,dem,NA,4.8
1964,dec,16,34,182,34,71,262,dem,NA,5
1965,jan,17,32,141,33,69,301,dem,NA,4.9
1965,feb,17,32,141,33,69,301,dem,NA,5.1
1965,mar,17,32,141,33,69,301,dem,NA,4.7
